日期,代码,名称,阶段,信号,置信度,信号依据,触发时间,信号强度,备注,信号定性,wash_level,wash_reason,need_l2,位置,量价配合,量柱形态
2026-08-06,002463,沪电股份,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2026-08-07,002463,沪电股份,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2026-08-10,002463,沪电股份,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2026-08-11,002463,沪电股份,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,低量柱
2026-08-12,002463,沪电股份,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,平量柱
2026-08-13,002463,沪电股份,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2026-08-14,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,低量柱
2026-08-17,002463,沪电股份,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2026-08-18,002463,沪电股份,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2026-08-19,002463,沪电股份,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2026-08-20,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,低量柱
2026-08-21,002463,沪电股份,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2026-08-24,002463,沪电股份,洗盘,洗盘,1.0,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2026-08-25,002463,沪电股份,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,平量柱
2026-08-26,002463,沪电股份,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2026-08-27,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2026-08-28,002463,沪电股份,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2026-08-31,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2026-09-01,002463,沪电股份,洗盘,洗盘,1.0,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2026-09-02,002463,沪电股份,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2026-09-03,002463,沪电股份,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2026-09-04,002463,沪电股份,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2026-09-07,002463,沪电股份,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2026-09-08,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2026-09-09,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2026-09-10,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2026-09-11,002463,沪电股份,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2026-09-14,002463,沪电股份,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2026-09-15,002463,沪电股份,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2026-09-16,002463,沪电股份,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2026-09-17,002463,沪电股份,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2026-09-18,002463,沪电股份,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-09-26,002472,双环传动,拉升,拉升,0.6,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日-0.19% 当日+7.67% → 累计+0.07%（滞涨），量236792>1.5×20日均96786 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日-0.19% 当日+7.67% → 累计+0.07%（滞涨），量236792>1.5×20日均96786 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,梯量柱
2024-09-27,002472,双环传动,拉升,拉升,0.6,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+7.67% 当日+7.12% → 累计+0.15%（滞涨），量359684>1.5×20日均106010 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+7.67% 当日+7.12% → 累计+0.15%（滞涨），量359684>1.5×20日均106010 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,梯量柱
2024-09-30,002472,双环传动,拉升,拉升,0.6,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+7.12% 当日+10.30% → 累计+0.18%（滞涨），量385673>1.5×20日均120873 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+7.12% 当日+10.30% → 累计+0.18%（滞涨），量385673>1.5×20日均120873 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,梯量柱
2024-10-08,002472,双环传动,拉升,拉升,0.6,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+10.30% 当日+10.12% → 累计+0.21%（滞涨），量431764>1.5×20日均127183 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+10.30% 当日+10.12% → 累计+0.21%（滞涨），量431764>1.5×20日均127183 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,梯量柱
2024-10-09,002472,双环传动,无明显迹象,无明显迹象,0.0,大盘共振,2026-09-19 20:23:50,无信号,[确认对倒-判据2] 判据2命中：位置=高位，前一日+10.12% 当日-1.01% → 累计+0.09%（滞涨），量411315>1.5×20日均139234 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,confirmed,判据2命中：位置=高位，前一日+10.12% 当日-1.01% → 累计+0.09%（滞涨），量411315>1.5×20日均139234 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,高位,价跌量缩,平量柱
2024-10-10,002472,双环传动,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-11,002472,双环传动,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-14,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-15,002472,双环传动,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-16,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-17,002472,双环传动,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-10-18,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-10-21,002472,双环传动,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-22,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-23,002472,双环传动,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-10-24,002472,双环传动,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-10-25,002472,双环传动,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-10-28,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-10-29,002472,双环传动,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2024-10-30,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2024-10-31,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2024-11-01,002472,双环传动,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-04,002472,双环传动,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-11-05,002472,双环传动,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-11-06,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=高位，前一日+2.25% 当日+4.88% → 累计+0.07%（滞涨），量420547>1.5×20日均168034 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=高位，前一日+2.25% 当日+4.88% → 累计+0.07%（滞涨），量420547>1.5×20日均168034 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,高位,量价齐升,梯量柱
2024-11-07,002472,双环传动,出货,出货,0.33,大盘共振,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（出货全组：符号比71%负，中位数偏负；不实时分流个股牛熊，牛股子集偏弱/熊横子集明确反向）,normal,无对倒迹象,True,高位,价跌量缩,缩量柱
2024-11-08,002472,双环传动,出货,出货,0.5,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（出货全组：符号比71%负，中位数偏负；不实时分流个股牛熊，牛股子集偏弱/熊横子集明确反向）,normal,无对倒迹象,True,高位,价升量缩,平量柱
2024-11-11,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振,2026-09-19 20:23:50,中信号,[确认对倒-判据2] 判据2命中：位置=过峰，前一日+0.77% 当日+4.96% → 累计+0.06%（滞涨），量250868>1.5×20日均159182 [第22章高位对倒出货，第5章诱多，第4章位置决定性质]，环境=bull，[日线近似，样本未显著，需人工确认]; [参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],谨慎提示（弱：拉升高位 80%负，中位数幅度不足）,confirmed,判据2命中：位置=过峰，前一日+0.77% 当日+4.96% → 累计+0.06%（滞涨），量250868>1.5×20日均159182 [第22章高位对倒出货，第5章诱多，第4章位置决定性质],True,过峰,量价齐升,普通量柱
2024-11-12,002472,双环传动,无明显迹象,无明显迹象,0.0,大盘共振,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,高位,价跌量缩,缩量柱
2024-11-13,002472,双环传动,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-11-14,002472,双环传动,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-15,002472,双环传动,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,平量柱
2024-11-18,002472,双环传动,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-11-19,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-11-20,002472,双环传动,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-11-21,002472,双环传动,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-22,002472,双环传动,无明显迹象,无明显迹象,0.0,位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,普通量柱
2024-11-25,002472,双环传动,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2024-11-26,002472,双环传动,拉升,拉升,0.4,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量增价跌,梯量柱
2024-11-27,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-11-28,002472,双环传动,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-11-29,002472,双环传动,无明显迹象,无明显迹象,0.0,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-12-02,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-12-03,002472,双环传动,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-04,002472,双环传动,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
2024-12-05,002472,双环传动,洗盘,洗盘,0.5,量价形态+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-12-06,002472,双环传动,洗盘,洗盘,0.75,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-09,002472,双环传动,无明显迹象,无明显迹象,0.0,位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2024-12-10,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,量价齐升,梯量柱
2024-12-11,002472,双环传动,洗盘,洗盘,0.5,位置确认,2026-09-19 20:23:50,弱信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-12,002472,双环传动,拉升,拉升,0.4,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（拉升 无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-12-13,002472,双环传动,无明显迹象,无明显迹象,0.0,大盘共振+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量增价跌,平量柱
2024-12-16,002472,双环传动,洗盘,洗盘,0.75,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-17,002472,双环传动,洗盘,洗盘,0.5,大盘共振+位置确认,2026-09-19 20:23:50,中信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价跌量缩,缩量柱
2024-12-18,002472,双环传动,洗盘,洗盘,0.5,量价形态+大盘共振+位置确认,2026-09-19 20:23:50,强信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],参考备注（洗盘 中性，无显著增量）,normal,无对倒迹象,True,中位,价升量缩,缩量柱
2024-12-19,002472,双环传动,无明显迹象,无明显迹象,0.0,量价形态+位置确认,2026-09-19 20:23:50,无信号,[参考信息，非交易信号；相对随机日增量<5pp，仅作看盘辅助],无明确信号（阶段无迹象，不预测方向）,normal,无对倒迹象,True,中位,量价齐升,普通量柱
